stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,ObjectId,GlobalID,x,y
U18247Z2,Vevčice,48.961985,16.044405,823,0,U18247N2534,2\,,5667,52ee7b58-6a4c-40b6-9c48-f60a781770d7,1786054.99468105,6268413.50378159
U19208Z1,"Strážnice, Radějovská",48.893444,17.312679,925,0,U19208N2345,2\,,5668,24c82630-1f8b-416a-b11d-45e2c6a7e907,1927238.6105474,6256800.3728271
U17604Z2,Pačlavice,49.259808,17.168328,760,0,U17604N2434,2\,,5669,e97411af-034f-4606-945e-73ef2b4864b5,1911169.5307319,6319060.9080123
U16633Z1,Kožušice,49.157645,17.187003,667,0,U16633N2306,2\,,5670,4073f84c-68da-404f-b875-822466155038,1913248.42222247,6301652.90800571
U17455Z1,"Vyškov, letiště",49.302628,17.022469,740,0,U17455N2405,2\,,5671,ac0a544e-98ae-46ac-b6b1-5b38acd107ab,1894932.58112429,6326367.91149659
U18073Z2,"Znojmo, Mramotice, u školky",48.90358,16.002172,800,0,U18073N2569,2\,,5672,c5421348-867a-4bc1-8ecd-3108a8fc6e5b,1781353.63862638,6258516.74529699
U18231Z2,"Rudlice, samota",48.954161,16.0561,823,0,U18231N2533,2\,,5673,217fb9f9-58c3-4e4d-b8fb-713d3b77fd15,1787356.87612588,6267087.05092651
U19212Z1,"Strážnice, Vinohrady",48.883081,17.320048,925,0,U19212N2346,2\,,5674,075d4b6f-3834-4169-baf4-8c15da19425c,1928058.92387506,6255045.92119612
U17510Z3,Dětkovice,49.272403,17.144437,760,0,U17510N2433,2\,,5675,7074816d-8bc1-4b72-9721-eb7a63c04fb1,1908509.99677736,6321209.5187182
U16632Z1,"Kožušice, točna",49.156771,17.187265,667,0,U16632N2307,2\,,5676,712af1ec-1fdd-4aef-8bef-402099f841ef,1913277.58792905,6301504.13835942
U17529Z1,"Pustiměř, u kříže",49.31424,17.02913,750,0,U17529N2406,2\,,5677,689ebb50-b9b1-4ca3-b6ae-a350181c57a5,1895674.08025246,6328350.53129518
U18072Z2,"Znojmo, Mramotice, u čekárny",48.903058,15.999126,800,0,U18072N2512,2\,,5678,437e31e5-d713-49f8-a8c2-3bcf2bd11817,1781014.55945742,6258428.3442908
U18232Z31,"Rudlice, u pomníku",48.94885,16.067387,823,0,U18232N2532,2\,,5679,f0b97b6e-f7f7-438b-a0d8-4c6e171baceb,1788613.33921846,6266186.76159706
U19203Z1,"Radějov, škola",48.861775,17.340116,925,0,U19203N2347,2\,,5680,f1b1a7b9-8482-4227-82e2-3517ae650674,1930292.8834163,6251439.96588012
U17520Z2,Švábenice,49.27873,17.122723,750,0,U17520N2432,2\,,5681,aaf6d035-204f-4817-83dc-7b44742202ca,1906092.80535427,6322289.06355345
U16633Z2,Kožušice,49.157687,17.18727,667,0,U16633N2306,2\,,5682,b6f82b0a-1346-4671-b403-48df6c884f0b,1913278.14452651,6301660.05718525
